Listagem de Publicações Periódicas ativas à data de 01 de setembro de 2026,,,,,,,,,,,,,,,,,,,,,,
NÚMERO DE REGISTO,DATA DE INSCRIÇÃO,DENOMINAÇÃO,SUPORTE,ÂMBITO,CONTEÚDO,PERIODICIDADE,SITUAÇÃO PP,MORADA SEDE REDAÇÃO,CÓDIGO POSTAL SEDE REDAÇÃO,LOCALIDADE SEDE REDAÇÃO,CONCELHO SEDE REDAÇÃO,DISTRITO SEDE REDAÇÃO,EDITOR,DIRETOR,DIRETOR ADJUNTO,SUBDIRETOR,NOME / DESIGNAÇÃO SOCIAL - PROPRIETÁRIO,CONCELHO,DISTRITO,REGIÃO AUTÓNOMA PROP,ENDEREÇO DE CORREIO ELETRÓNICO,WEBSITE
126233,16-05-2012,Jornal Mãos Unidas,Papel/Online,Nacional,Informação Especializada,Bimestral,Registo Definitivo,"R. Sarmento de Beires, 19 A - 1.º",1900-410,Lisboa,Lisboa,Lisboa,Associação Portuguesa de Solidariedade Mãos Unidas P. Damião,Vânia Filipa Pinho dos Santos de Almeida,,,Associação Portuguesa de Solidariedade Mãos Unidas P. Damião,Lisboa,Lisboa,,geral@maos-unidas.pt,www.maos-unidas.pt
126238,27-05-2012,Blimunda,Online,Nacional,Informação Especializada,Mensal,Registo Definitivo,"R. dos Bacalhoeiros, 10",1100-135,Lisboa,Lisboa,Lisboa,Fundação José Saramago,Sérgio Machado Letria,,,Fundação José Saramago,Lisboa,Lisboa,,sergio@josesaramago.org,https://blimunda.josesaramago.org/
126239,27-05-2012,Afpop Update,Papel/Online,Nacional,Informação Geral,Bimestral,Registo Definitivo,"Poço Fojo, R. dos Bombeiros Voluntários, Lt. 5, Lj. A",8500-649,Portimão,Portimão,Faro,Erwin Mohr,Daisy Ann Sampson,,,AFPOP - Associação de Proprietários Estrangeiros em Portugal,Portimão,Faro,,info@afpop.com,www.afpop.com
126244,27-05-2012,MAIS/Semanário,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"Avenida Vasco da Gama, 60",4490-410,Póvoa de Varzim,Póvoa de Varzim,Porto,"Ilustrepágina, Unipessoal, Lda.",Virgilio Manuel Brandão Tavares,,,"Ilustrepágina, Lda.",Póvoa de Varzim,Porto,,ilustrepagina@gmail.com,www.maissemanario.pt
126257,13-08-2012,Jornal dos Clássicos,Online,Nacional,Informação Especializada,Diária,Registo Definitivo,"R. Jean Lurçat, 42",3475-031,Caramulo,Tondela,Viseu,Museu do Caramulo,Salvador Patrício Lacerda Pinto Basto Gouveia,,,Fundação Abel e João de Lacerda,Tondela,Viseu,,info@jornaldosclassicos.com,www.jornaldosclassicos.com
126261,14-08-2012,Football Dream,Online,Nacional,Informação Especializada,Bissemanal,Registo Definitivo,"Avenida Almirante Reis, 174 - 6º C",1000-053,Lisboa,Lisboa,Lisboa,"Âmbito - Gestão da Informação, Lda",Gabriel Mendes,,,"Âmbito - Gestão da Informação, Lda.",Lisboa,Lisboa,,gabriel.mendes@footballdream.pt,www.footballdream.pt
126267,20-08-2012,Notícias ao Minuto,Online,Nacional,Informação Geral,Diária,Registo Definitivo,"R. Dr. José Joaquim Almeida, 2 - 3E",2780-322,Oeiras,Oeiras,Lisboa,"New Adventures, Lda.",Mário António Pereira Oliveira Rodrigues,,,"New Adventures, Lda.",Oeiras,Lisboa,,mapor1@gmail.com,www.noticiasaominuto.com
126270,04-09-2012,Ipress Global,Online,Nacional,Informação Geral,Diária,Registo Definitivo,"R. Casal 31, GR 3",2735-354,Agualva-Cacém,Sintra,Lisboa,Paulo Alexandre Januário Perdigão,Paulo Alexandre Januário Perdigão,Mário Manuel Carapinha de Andrade,Kelen Cristina Ribeiro Barbosa Perdigão,Paulo Alexandre Januário Perdigão,Lisboa,Lisboa,,redacao@ipressglobal.com,www.ipressglobal.com
126275,13-09-2012,A Voz do Algarve,Online,Regional,Informação Geral,Diária,Registo Definitivo,"R. 1º de Dezembro, 26 B",8100-615,Loulé,Loulé,Faro,"Goldenhouse - Mediação Imobiliária, Edição e Comércio de Jornais, Lda.",Nathalie Dias Rodrigues,,,"Goldenhouse - Mediação Imobiliária, Edição e Comércio de Jornais, Lda.",Loulé,Faro,,geral@avozdoalgarve.pt,www.avozdoalgarve.pt
126280,09-10-2012,Eventos de Sonho,Papel,Nacional,Informação Geral,Semestral,Registo Definitivo,"Largo de Santos, s/n Armazém",6400-243,Lameiras,Pinhel,Guarda,Natália Martins Andrade Franco,Natália Martins Andrade Franco,,,"Mariana & Daniel, Lda.",Pinhel,Guarda,,revistaeventosdesonho@gmail.com,
126299,10-12-2012,Atlas da Saúde,Online,Nacional,Informação Especializada,Diária,Registo Definitivo,"R. de Tabosa, 1094",4415-357,Tabosa,Vila Nova de Gaia,Porto,"Manuel José Guedes da Silva, Lda.",Bruno Guilherme do Nascimento Palmeira Guedes da Silva,,,"Manuel José Guedes da Silva, Lda.",Vila Nova de Gaia,Porto,,bruno.guedes@mjgs.pt,www.atlasdasaude.pt
126302,18-12-2012,Observador,Online,Nacional,Informação Geral,Diária,Registo Definitivo,"R. João Saraiva, 7",1700-248,Lisboa,Lisboa,Lisboa,"Observador on Time, SA",Miguel Ângelo Montes Terra Pinheiro,Pedro Jorge Castro; Sara Antunes de Oliveira,Ricardo Conceição; João Santos Duarte,"Observador on Time, S.A.",Lisboa,Lisboa,,duarte.schmidtlino@plmj.pt,www.observador.pt
126309,23-01-2013,Move Notícias,Online,Nacional,Informação Geral,Diária,Registo Definitivo,"Av. Major Botelho Moniz, 249, Abrigo do Pinhal Novo, Bl. 1, 1º, Miramar",4405-661,Vila Nova de Gaia,Vila Nova de Gaia,Porto,José Luís Gageiro dos Reis Moreira,"Maria João Teixeira Barros, também usa Maria João Pinheiro",,,"Move Notícias, Lda.",Vila Nova de Gaia,Porto,,pinheiro.mariajoao@gmail.com,www.movenoticias.com
126310,31-01-2013,Pombal Jornal,Papel/Online,Regional,Informação Geral,Quinzenal,Registo Definitivo,"R. Mancha Pé, 2",3100-467,Pombal,Pombal,Leiria,"Crónicas Mágicas - Unipessoal, Lda.",Manuel Simões Rodrigues Marques,,,"Crónicas Mágicas, Unipessoal, Lda.",Pombal,Leiria,,pombaljornal@gmail.com,www.pombaljornal.pt
126322,07-03-2013,Revista é Ribatejo,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"R. Dr. Guilherme Nunes Godinho, 260",2080-562,Fazendas de Almeirim,Almeirim,Santarém,Cecilia Almeida,Manuel Alberto Ferreira Pinheiro Silva,Cristiana Silva,Helder Santos,Manuel Alberto Ferreira Pinheiro Silva,Almeirim,Santarém,,geral@eribatejo.pt,www.eribatejo.pt
126325,11-03-2013,Eco 123,Online,Nacional,Informação Especializada,Semanal,Registo Definitivo,Sítio do Esgravatadouro,8550-267,Esgravatadouro,Monchique,Faro,Uwe Heitkamp,Uwe Heitkamp,António Veiga,,"Esgravatadouro - Cooperativa do Ambiente, CRL.",Monchique,Faro,,editor@eco123.info,https://www.eco123.info
126328,20-03-2013,Alto Tâmega Canal,Online,Regional,Informação Geral,Diária,Registo Definitivo,"R. da Indústria, Zona Industrial do Alto da Cocanha",5400-694,Cocanha,Chaves,Vila Real,"Enredos & Episódios - Televisão e Multimédia, Lda.",Manuel Abílio Ferreira,,,"Enredos & Episódios - Televisão e Multimédia, Lda.",Chaves,Vila Real,,enredosepisodios@gmail.com,https://canalaltotamega.pt/
126329,20-03-2013,Mapa - Jornal de Informação Crítica,Papel,Nacional,Informação Geral,Trimestral,Registo Definitivo,R. Principal de Algeruz CCI 3320,2950-077,Palmela,Palmela,Setúbal,Sandra Faustino,Ana Margarida Advirta Guerra,António Cunha,Pedro Mota,Associação Mapa Crítico,Palmela,Setúbal,,gui.luz@jornalmapa.pt,www.jornalmapa.pt
126334,21-03-2013,Diário Imobiliário,Online,Nacional,Informação Especializada,Diária,Registo Definitivo,"R. Caetano Maria Batalha, 5 - 7º .Dto.",2800-040,Almada,Almada,Setúbal,Fernanda Maria Filipe da Piedade Pedro,Fernanda Maria Filipe da Piedade Pedro,,,Fernanda Maria Filipe da Piedade Pedro,Almada,Setúbal,,geral@diarioimobiliario.pt,www.diarioimobiliario.pt
126335,21-03-2013,Automotive,Papel,Nacional,Informação Especializada,Mensal,Registo Definitivo,"Lagoas Park, Edificio 7 – 1º piso ",2740-244,Porto Salvo,Oeiras,Lisboa,"Prosa Serena Unipessoal, Lda.",Eduardo Gaspar da Silva,,,"Prosa Serena Unipessoal, Lda.",Oeiras,Lisboa,,press@automotivept.com,
126337,21-03-2013,Terras de Gaia,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"R. 5 de Outubro, 2524",4430-798,Avintes,Vila Nova de Gaia,Porto,"Letras e Figuras - Comunicação e Fotografia Unipessoal, Lda.",Fernando Manuel Martins da Fonseca,,,"Letras e Figuras - Comunicação e Fotografia Unipessoal, Lda.",Vila Nova de Gaia,Porto,,jornalterrasdegaia@gmail.com,http://www.terrasdegaia.pt
126342,21-03-2013,Centro TV,Online,Regional,Informação Geral,Diária,Registo Definitivo,"Av. António Afonso Amaral, 31, 2º Dto. B",3400-057,Oliveira do Hospital,Oliveira do Hospital,Coimbra,Paulo Alexandre de Campos Lencastre Leitão,Paulo Alexandre de Campos Lencastre Leitão,,,"BKN - Breaking News, Unipessoal, Lda.",Oliveira do Hospital,Coimbra,,geral@centrotv.pt,https://centrotv.sapo.pt
126350,17-04-2013,Carros & Motores,Papel,Nacional,Informação Especializada,Mensal,Registo Definitivo,"Edif. StartUp, Sintra, R. Retiro dos Pacatos, 50 - sala 10",2635-224,Covas,Sintra,Lisboa,Nuno Gomes,Joaquim Miguel Dias Rodrigues,,,"Editorial Grupo V - Portugal, Lda",Sintra,Lisboa,,a.lobo@grupov.com,
126352,17-04-2013,Mais Guimarães - A Revista da Cidade Berço,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"Av. de São Gonçalo, 319, 1º, Sala C",4810-525,Guimarães,Guimarães,Braga,Eliseu de Jesus Neto Sampaio,Eliseu de Jesus Neto Sampaio,,,"Eliseu Sampaio - Publicidade Unipessoal, Lda.",Guimarães,Braga,,administracao@maisguimaraes.pt,http://www.maisguimaraes.pt
126353,17-04-2013,Tugaleaks,Online,Nacional,Informação Geral,Mensal,Registo Definitivo,"Pc. Projetada à Av. Capitão Meleças, 3, 4º Esq.",2615-154,Alverca do Ribatejo,Vila Franca de Xira,Lisboa,Rui Diogo Morais da Cruz,Rui Diogo Morais da Cruz,,,Rui Diogo Morais da Cruz,Vila Franca de Xira,Lisboa,,mail@ruicruz.pt,www.tugaleaks.com
126362,10-05-2013,Valor Local,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"R. Eng. Moniz da Maia, Centro Comercial Atrium, 68 – Loja 17",2050-356,Azambuja,Azambuja,Lisboa,"Metáforas e Parábolas, Unipessoal, Lda.",Miguel António de Oliveira Rodrigues,,,"Metáforas e Parábolas, Unipessoal, Lda.",Azambuja,Lisboa,,valorlocal@valorlocal.pt,www.valorlocal.pt
126364,15-05-2013,Elevare - Revista Técnica de Elevadores e Movimentação de Cargas,Online,Nacional,Informação Especializada,Semestral,Registo Definitivo,"Praça da Corujeira, 38 (Apartado 3825)",4300-144,Porto,Porto,Porto,"CIE - Comunicação e Imprensa Especializada, Lda",Fernando Maurício Teixeira de Sousa Dias,,,"CIE - Comunicação e Imprensa Especializada, Lda.",Porto,Porto,,julio.almeida@cie-comunicacao.pt,www.elevare.pt
126365,17-05-2013,FPF360,Papel,Nacional,Informação Especializada,Trimestral,Registo Definitivo,Av. das Seleções,1495-433,Cruz Quebrada,Oeiras,Lisboa,Federação Portuguesa de Futebol,António Luis Santa-Rita de Figueiredo Magalhães,,,Federação Portuguesa de Futebol,Oeiras,Lisboa,,info@fpf.pt,www.fpf.pt
126370,22-05-2013,Warriors Online Tactical Magazine,Online,Nacional,Informação Especializada,3 x ano,Registo Definitivo,"R. 16 de Março, 8",2500-115,Caldas da Rainha,Caldas da Rainha,Leiria,ACADO - Associação de Colecionadores e Atiradores do Oeste,Bryan Henriques Ferreira,Leonor Maria Marques dos Santos,,ACADO - Associação de Colecionadores e Atiradores do Oeste,Caldas da Rainha,Leiria,,bryanferreira@gmail.com,www.warriors.pt
126373,31-05-2013,PT Jornal,Online,Nacional,Informação Geral,Diária,Registo Definitivo,"Travessa do Amparo, Edifício Sales Faria & Andrade",9000-647,Funchal,Funchal,Ilha da Madeira,"Clever Advertising, Lda. (Zona Franca da Madeira)",Pedro Miguel da Silva Alves Gonçalves,,,"Clever Advertising, Lda. (Zona Franca da Madeira)",Funchal,Ilha da Madeira,Região Autónoma da Madeira,legal@cleveradvertising.com,https://ptjornal.com
126374,31-05-2013,Jornal CascaisAlgés,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,"R. Latino Coelho, 87",1050-134,Lisboa,Lisboa,Lisboa,"Triunfapágina Unipessoal, Lda.",Vanessa Filipa Azedo,,,"Triunfapágina Unipessoal, Lda.",Lisboa,Lisboa,,cascaisalges@gmail.com,
126375,03-06-2013,Notícias de Coimbra,Online,Regional,Informação Geral,Diária,Registo Definitivo,"Rua do Carmo, 75, 4.º andar, BM",3000-098,Coimbra,Coimbra,Coimbra,Fernando Manuel Brito Moura da Silva,Susana Isabel Bento Brás Amaro,,,"Sociedade Fechada, Lda.",Coimbra,Coimbra,,info@noticiasdecoimbra.pt,www.noticiasdecoimbra.pt
126382,04-07-2013,Marítimo TV,Online,Regional,Informação Especializada,Mensal,Registo Definitivo,"Estádio do Marítimo - Porta 9, Rua dos Barreiros, São Martinho",9000-695,Funchal,Funchal,Ilha da Madeira,Nuno Roberto Faria Pereira,Jorge Eduardo de Freitas,,,"Marítimo da Madeira TV, Unipessoal, Lda.",Funchal,Ilha da Madeira,Região Autónoma da Madeira,geral@csmaritimo.pt,http://www.maritimo.tv/
126392,08-08-2013,Braga TV,Online,Regional,Informação Geral,Diária,Registo Definitivo,"Av. da Liberdade, 706 - 1º Esq",4710-249,Braga,Braga,Braga,Sandra Catarina da Costa Antunes,Angélica Marisa da Costa Antunes,,,"Angélica & Sandra Antunes, Lda.",Braga,Braga,,angelicantunes@hotmail.com,www.bragatv.pt
126397,28-08-2013,Magazine Imobiliário,Papel/Online,Nacional,Informação Especializada,Bimestral,Registo Definitivo,"Rua Paulo Reis Gil, 39, 3º Esq.",2745-195,Queluz,Sintra,Lisboa,Carla Celestino,Carla Maria Correia Celestino,,,"Palavras Aliadas - Unipessoal, Lda.",Sintra,Lisboa,,geral@palavrasaliadas.pt,http://www.magazineimobiliario.com/
126404,04-09-2013,CJT - Cadernos de Justiça Tributária,Papel,Nacional,Informação Especializada,Trimestral,Registo Definitivo,Escola de Direito da Universidade do Minho - Campus de Gualtar,4710-057,Braga,Braga,Braga,Cejur - Centro de Estudos Jurídicos do Minho,Joaquim Manuel Freitas da Rocha,,,Cejur - Centro de Estudos Jurídicos do Minho,Braga,Braga,,cejur@cejur.pt,www.cejur.pt
126405,13-09-2013,TV Portugal,Online,Nacional,Informação Geral,Semanal,Registo Definitivo,"Beco dos Bogueiros, 18",2645-172,Amoreira,Cascais,Lisboa,António Joaquim Pereira da Assunção,António Joaquim Pereira da Assunção,,,António Joaquim Pereira da Assunção,Cascais,Lisboa,,ajpassuncao@gmail.com,www.tvportugal.tv
126409,04-10-2013,Boletim Informativo da Santa Casa da Misericordia de Sardoal,Papel,Regional,Informação Geral,Trimestral,Registo Definitivo,Largo do Convento,2230-234,Sardoal,Sardoal,Santarém,Santa Casa da Misericórdia de Sardoal,Fernando Constantino Moleirinho,,,Santa Casa da Misericordia de Sardoal,Sardoal,Santarém,,scm.sardoal@mail.telepac.pt,
126410,07-10-2013,Revista de Direito Local,Papel,Nacional,Informação Especializada,Trimestral,Registo Definitivo,Largo da Estação s/n,4700-223,Braga,Braga,Braga,Associação de Estudos de Direito Regional e Local - AEDREL,António Cândido Macedo de Oliveira,,,Associação de Estudos de Direito Regional e Local - AEDREL,Braga,Braga,,aedrel@aedrel.org,
126419,18-10-2013,TV Barroso,Online,Regional,Informação Geral,Quinzenal,Registo Definitivo,"R. Direita, 37 - Centro Comercial José Maria Gomes, Piso 3, Loja 9",5470-234,Montalegre,Montalegre,Vila Real,"TV Barroso, Lda.",João Manuel de Morais Xavier,,,"TV Barroso, Lda.",Montalegre,Vila Real,,info@tvbarroso.com,www.tvbarroso.com
126427,05-11-2013,Notícias do Tâmega,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"R. João Pinto Ribeiro, 186, Fração AX",4600-035,Amarante,Amarante,Porto,"ERA - Emissora Regional de Amarante, Lda.",Luciano Carlos Macedo Gonçalves,,,"ERA - Emissora Regional de Amarante, Lda.",Amarante,Porto,,geral.erafm@gmail.com,www.noticiasdotamega.com
126432,21-11-2013,Setúbal Mais,Papel/Online,Regional,Informação Geral,Quinzenal,Registo Definitivo,"Av. Luísa Todi, 165, Gabinete 11 - Mercado do Livramento",2900-482,Setúbal,Setúbal,Setúbal,Florindo Manuel Cantante Cardoso,Florindo Manuel Cantante Cardoso,,,Florindo Manuel Cantante Cardoso,Setúbal,Setúbal,,florindocardoso21@gmail.com,www.setubalmais.pt
126433,21-11-2013,Jornal Online Vila de Rei,Online,Regional,Informação Geral,Diária,Registo Definitivo,"R. S. José, B2",2550-482,Casal do Pinheiro,Cadaval,Lisboa,Joaquim Vitorino,Joaquim Vitorino,,,Joaquim Vitorino,Cadaval,Lisboa,,joa.vitopo@netcabo.pt,www.jornaldeviladerei.com
126442,04-12-2013,Gourmet Magazine,Papel/Online,Nacional,Informação Especializada,Anual,Registo Definitivo,"R. António Maria Cardoso, 26",1200-027,Lisboa,Lisboa,Lisboa,The Hotel - Room for Ideas,Teresa de Castro e Brito de Castro Viana Fonseca da Cruz,,,"El Corte Inglês, Grandes Armazéns, SA",Lisboa,Lisboa,,gabinetejuridico@elcorteingles.pt,https://catalogos.elcorteingles.pt/ElCorteIngles/supermercado/2025/11/gourmet-magazine/
126444,02-01-2014,Jornal Sudoeste,Papel/Online,Regional,Informação Geral,Quinzenal,Registo Definitivo,"R. Campo de Ourique, 6-A",7780-148,Castro Verde,Castro Verde,Beja,"JOTA CBS - Comunicação e Imagem, Lda.",Carlos Miguel Pinto,,,"JOTA CBS - Comunicação e Imagem, Lda.",Castro Verde,Beja,,ajbrito@jota-cbs.pt,www.jornalsudoeste.com
126445,02-01-2014,Yoga a Norte,Papel/Online,Regional,Informação Especializada,Anual,Registo Definitivo,"Largo Antero de Quental, 21",4480-701,Vila do Conde,Vila do Conde,Porto,Associação Regional do Yoga Galaico Douriense e Grande Porto - ARYON,Catarina Santos Ferreira,Ana Martins,Paulo Pontes,Associação Regional do Yoga Galaico Douriense e Grande Porto - ARYON,Póvoa de Varzim,Porto,,om.aryon.om@gmail.com,
126446,02-01-2014,Revista Fenacerci,Papel/Online,Nacional,Informação Especializada,Anual,Registo Definitivo,"R. Augusto Macedo, 2-A",1600-794,Lisboa,Lisboa,Lisboa,Ana Rita Peralta,Joaquim Ascensão Pequicho,,,"FENACERCI-Federação Nacional de Cooperativas de Solidariedade Social, FCRL",Lisboa,Lisboa,,fenacerci@fenacerci.pt,www.fenacerci.pt
126447,02-01-2014,Prismafra,Papel,Regional,Informação Geral,Bimestral,Registo Definitivo,"R. Cerrado do Sacristão, 4, Longo da Vila",2640-433,Mafra,Mafra,Lisboa,Maria Moreira,Jorge Humberto Santos Carnaxide,Maria Moreira,,Jorge Humberto Santos Carnaxide,Mafra,Lisboa,,prismarevista.mafra@gmail.com,
126448,02-01-2014,Notícias da Gandaia,Online,Nacional,Informação Geral,Mensal,Registo Definitivo,"Praça da Liberdade, 17 - A - 1º.",2825-355,Costa de Caparica,Almada,Setúbal,Associação Gandaia,Nuno Filipe Pires Ramos,Ana Margarida Leal,Manuel Ribeiro,Associação Gandaia,Almada,Setúbal,,geral@gandaia.info,https://www.gandaia.info
126450,02-01-2014,HPA Magazine,Online,Regional,Informação Especializada,Semestral,Registo Definitivo,"Cruz da Bota, 27 , Estrada de Alvor",8500-322,Alvor,Portimão,Faro,"Hospital Particular do Algarve, SA",João Silvério Fernandes Bacalhau,Ana Paula Fontes,João Manuel Bacalhau,"Hospital Particular do Algarve, SA",Portimão,Faro,,info@hpalg.com,www.hpa.com
126455,09-01-2014,Vivre Le Portugal,Papel/Online,Regional,Informação Especializada,Trimestral,Registo Definitivo,"Parque Empresarial Algarve, 7",8400-431,Lagoa,Lagoa (Algarve),Faro,"Open Media - Design e Publicações, SA",Bruce Patrick Hawker,---,,"Open Media - Design e Publicações, SA",Lagoa (Algarve),Faro,,info@open-media.net,www.vivrelalgarve@open-media.net
126461,05-02-2014,Trabalhos de Antropologia e Etnologia,Online,Nacional,Informação Especializada,Anual,Registo Definitivo,"Pr. Coronel Pacheco, 15",4050-453,Porto,Porto,Porto,Sociedade Portuguesa de Antropologia e Etnologia,Vítor Oliveira Jorge,,,Sociedade Portuguesa de Antropologia e Etnologia,Porto,Porto,,vitor.oliveirajorge@gmail.com,Http://revistataeonline.weebly.com
126465,05-02-2014,S_cities,Papel,Nacional,Informação Especializada,Trianual,Registo Definitivo,"Avenida Dom Afonso Henriques, n.º 1825",4450-017,Matosinhos,Matosinhos,Porto,"SC Mag, Unipessoal, Lda.",Maria Cláudia Monteiro,,,"SC Mag, Unipessoal Lda",Matosinhos,Porto,,vera.amorim@ceiia.com,http://www.s-cities.pt
126467,11-02-2014,Notícias Online,Online,Nacional,Informação Geral,Mensal,Registo Definitivo,"R. Ruy Gameiro, 18 - 1º.Dto.",2745-320,Queluz,Sintra,Lisboa,Luisa Margarida Ferreira da Silva,Jacinto José Carolino Furtado,,,Jacinto José Carolino Furtado e Luísa Margarida Ferreira da Silva,Sintra,Lisboa,,redaccao@noticiasonline.eu,www.noticiasonline.eu
126468,12-02-2014,TV Esposende,Online,Nacional,Informação Geral,Diária,Registo Definitivo,"R. Barão de Esposende, 24",4740-236,Esposende,Esposende,Braga,António Eduardo Loureiro Ferreira,António Eduardo Loureiro Ferreira,,,António Eduardo Loureiro Ferreira,Esposende,Braga,,geral@esposendeservicostv.com,http://www.esposendeservicostv.com
126469,14-02-2014,Saldo Positivo,Online,Nacional,Informação Especializada,Diária,Registo Definitivo,"Av. João XXI, 63",1000-300,Lisboa,Lisboa,Lisboa,"Caixa Geral de Depositos, S.A.",Francisca Barata Salgueiro,,,"Caixa Geral de Depósitos, S.A.",Lisboa,Lisboa,,maria.piedade.martins@cgd.pt,http://.saldopositivo.cgd.pt
126470,14-02-2014,Notícias de Cascais,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"R. Dr. Sousa Martins, 19 loja 1",2725-592,Mem Martins,Sintra,Lisboa,"Mérito da Palavra, Unipessoal, Lda.",Maria da Graça de Almeida Tracana,,,"Mérito da Palavra, Unipessoal, Lda.",Sintra,Lisboa,,direcao.gracatracana@gmail.com,https://issuu.com/merito_da_palavra
126471,14-02-2014,Notícias da Sua Terra,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"R. Engenheiro Guilherme Santos, 9 Loja B",3105-165,Louriçal,Pombal,Leiria,José António Ribeiro Pereira,José António Ribeiro Pereira,Paulo Nunes,,José António Ribeiro Pereira,Pombal,Leiria,,josepereira@noticiasdasuaterra.pt,https://www.noticiasdasuaterra.com
126473,21-02-2014,Notícias que Contam,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"Estrada dos Portões Vermelhos n.º 20, Escritório B",9560-450,Lagoa,Lagoa (São Miguel),Ilha de São Miguel,"Narrativa Frequente Unipessoal, Lda.",Sara Sousa Oliveira,,,"Narrativa Frequente Unipessoal, Lda.",Lagoa (São Miguel),Ilha de São Miguel,Região Autónoma dos Açores,geral@noticiasquecontam.pt,http://www.noticiasquecontam.pt
126475,10-03-2014,Comércio & Notícias,Online,Nacional,Informação Geral,Diária,Registo Definitivo,"Rua de Santa Bárbara, Moradia 5",2040-228,Rio Maior,Rio Maior,Santarém,Paulo Jorge de Pinho Araújo,Paulo Jorge de Pinho Araújo,,,Isabel Maria Rosa Monteiro,Rio Maior,Santarém,,isabel.m.isabel@hotmail.com,www.comercioenoticias.pt
126477,17-03-2014,Jornal Desportivo,Papel/Online,Regional,Informação Especializada,Mensal,Registo Definitivo,"Rua Dr. Sousa Martins, 19 A",2725-461,Mem Martins,Sintra,Lisboa,"Mérito da Palavra, Unipessoal, Lda.",Maria da Graça de Almeida Tracana,,,"Mérito da Palavra, Unipessoal, Lda.",Sintra,Lisboa,,direcao.gracatracana@gmail.com,https://issuu.com/merito_da_palavra
126486,27-03-2014,Figueira na Hora,Online,Nacional,Informação Geral,Diária,Registo Definitivo,"R. D. José I, 41, r/c esq.",3080-202,Figueira da Foz,Figueira da Foz,Coimbra,Jorge Manuel Fonseca Miranda Lemos,Jorge Lemos,,,Jorge Manuel Fonseca Miranda Lemos,Figueira da Foz,Coimbra,,geral@figueiranahora.com,www.figueiranahora.com
126499,23-04-2014,FafeTV,Online,Regional,Informação Geral,Diária,Registo Definitivo,"R. Universitária, Edificio IESFafe",4820-509,Rua Nova,Fafe,Braga,Sara Novais,Filipa Gonçalves Carvalho,Maurício Moreira,,"Relatos Obrigatórios, Lda.",Fafe,Braga,,fafetvtemporeal@gmail.com,www.fafetv.com
126505,12-05-2014,Praia Magazine,Papel/Online,Regional,Informação Geral,Bimestral,Registo Definitivo,"Av. Júlio Graça, 354",4480-672,Vila do Conde,Vila do Conde,Porto,"Linha da Praia - Imobiliária e Turismo, Lda.",Miguel Ferreira,,,"Linha da Praia - Imobiliária e Turismo, Lda.",Vila do Conde,Porto,,imobiliaria@linhadapraia.pt,www.linhadapraia.pt
126506,12-05-2014,Mood,Online,Nacional,Informação Geral,Diária,Registo Definitivo,"Praceta Quinta da Marialva, 3, 4.º C",2855-696,Santa Marta do Pinhal,Seixal,Setúbal,Sónia Santos Dias,Sónia Santos Dias,,,Sónia Santos Dias,Seixal,Setúbal,,geral@moodmagazine.pt,www.moodmagazine.pt
126510,15-05-2014,TV Guadiana - Alentejo em Direto,Online,Regional,Informação Geral,Diária,Registo Definitivo,"R. da Dinamarca, s/n",7350-478,Elvas,Elvas,Portalegre,Alberto Augusto dos Anjos Castanho,Alberto Augusto dos Anjos Castanho,,,Vitória Maria Eduardo Belchiorinho Castanho,Elvas,Portalegre,,geral@tvguadiana.pt,www.tvguadiana.pt
126515,15-05-2014,Revista Business Portugal,Papel/Online,Nacional,Informação Especializada,Bimestral,Registo Definitivo,"Avenida da República, 2208, 3ºDT, CT, FT",4430-190,Vila Nova de Gaia,Vila Nova de Gaia,Porto,António Fernando Alves Rodrigues da Silva,António Fernando Alves Rodrigues da Silva,,,António Fernando Alves Rodrigues Silva,Matosinhos,Porto,,fernandosilva.guidetarget@gmail.com,www.revistabusinessportugal.pt
126524,27-05-2014,Jornal do Ave,Papel/Online,Regional,Informação Geral,Quinzenal,Registo Definitivo,"R. Aldeias de Cima, 280 r/c",4785-699,Santiago do Bougado,Trofa,Porto,"We Do Com, Unipessoal Lda.",Hermano Rolando Ferreira Martins,,Cátia Veloso,"We Do Com, Unipessoal Lda.",Santo Tirso,Porto,,magda@jornaldoave.pt,www.jornaldoave.pt
126527,29-05-2014,Altominho.tv,Online,Regional,Informação Geral,Diária,Registo Definitivo,R. Pereira da Cunha,4940-542,Paredes de Coura,Paredes de Coura,Viana do Castelo,"Take Film - Produções Audiovisuais, Unipessoal Lda.",Manuel José Miranda,Roberto Ângelo Pires Esteves,José Dantas Lima Pereira,"Take Film - Produções Audiovisuais, Unipessoal Lda.",Monção,Viana do Castelo,,altominhotv.tecnico@gmail.com,www.altominho.tv
